repository,title,url,created_at
microsoft/vscode,Restart Extensions button not created when disabling extensions from Running Extensions view,https://github.com/microsoft/vscode/issues/250201,2025-05-31
microsoft/vscode,"Disabled and enabled (workspace) extension Disable button dropdown contains both ""Disable"" and ""Disable (Workspace)"" items",https://github.com/microsoft/vscode/issues/244138,2025-03-20
microsoft/vscode,Web: `detectFullscreen` false positive on a display without dock and title area,https://github.com/microsoft/vscode/issues/229058,2024-09-19
microsoft/vscode,Terminal Icon picker weird placement,https://github.com/microsoft/vscode/issues/211083,2024-04-23
microsoft/vscode,Go to symbol in workspace shortcut in Codespaces (browser) is CTRL-T.,https://github.com/microsoft/vscode/issues/232381,2024-10-28
microsoft/vscode,Improve alignment of text and icons in status bar,https://github.com/microsoft/vscode/issues/162995,2022-10-07
microsoft/vscode,Git - Removing a folder from multi-root workspace does not remove repo,https://github.com/microsoft/vscode/issues/108757,2020-10-15
microsoft/vscode,add hoverForeground and hoverBackground to activity bars,https://github.com/microsoft/vscode/issues/210694,2024-04-18
microsoft/vscode,Support `XDG_CONFIG_HOME` for the `argv.json` file,https://github.com/microsoft/vscode/issues/162712,2022-10-05
microsoft/vscode,Cannot hide breadcrumb icons,https://github.com/microsoft/vscode/issues/209943,2024-04-09
kubernetes/kubernetes,"`failed to garbage collect required amount of images. Wanted to free 473842483 bytes, but freed 0 bytes`",https://github.com/kubernetes/kubernetes/issues/71869,2018-12-08
kubernetes/kubernetes,Quiet `git worktree add` in `hack/verify-govulncheck.sh`,https://github.com/kubernetes/kubernetes/issues/132153,2025-06-06
kubernetes/kubernetes,Cleanup circular dependencies around the kubelet's admitHandlers and the container runtime,https://github.com/kubernetes/kubernetes/issues/132298,2025-06-13
kubernetes/kubernetes,API documentation incorrectly states that resizePolicy can be set to ephemeral containers,https://github.com/kubernetes/kubernetes/issues/128384,2024-10-28
kubernetes/kubernetes,Reuse the http request object for http probes,https://github.com/kubernetes/kubernetes/issues/115939,2023-02-21
kubernetes/kubernetes,Add missing docs for x-kubernetes openapi fields,https://github.com/kubernetes/kubernetes/issues/131724,2025-05-12
kubernetes/kubernetes,NetworkPolicy tests for blocking north/south traffic,https://github.com/kubernetes/kubernetes/issues/114369,2022-12-08
kubernetes/kubernetes,"Write the stress test for gRPC, http, and tcp probes",https://github.com/kubernetes/kubernetes/issues/115782,2023-02-15
kubernetes/kubernetes,Kubelet should enforce that static pods do not reference other API objects,https://github.com/kubernetes/kubernetes/issues/103587,2021-07-08
kubernetes/kubernetes,Node lifecycle controller does not `markPodsNotReady` when the node `Ready` state changes from `false` to `unknown`,https://github.com/kubernetes/kubernetes/issues/112733,2022-09-26
firstcontributions/first-contributions,Remove slack link in Czech translation,https://github.com/firstcontributions/first-contributions/issues/94087,2025-02-08
firstcontributions/first-contributions,Remove slack link in Bulgarian translation,https://github.com/firstcontributions/first-contributions/issues/94529,2025-02-19
firstcontributions/first-contributions,Remove slack link in Deutsch translation,https://github.com/firstcontributions/first-contributions/issues/94534,2025-02-19
firstcontributions/first-contributions,Remove slack link in Uzbek translation,https://github.com/firstcontributions/first-contributions/issues/94526,2025-02-19
firstcontributions/first-contributions,Remove slack link in Egyptian Arabic translation,https://github.com/firstcontributions/first-contributions/issues/94134,2025-02-09
firstcontributions/first-contributions,Remove slack link in Armenian translation,https://github.com/firstcontributions/first-contributions/issues/94525,2025-02-19
firstcontributions/first-contributions,Remove slack link in Albanian translation,https://github.com/firstcontributions/first-contributions/issues/94524,2025-02-19
